,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
142,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
143,2,14,10,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
144,2,36,14,29,35,21,7,4,25,28,5,6,0,0,0,0,0,0
145,2,22,14,10,29,21,4,30,5,6,0,0,0,0,0,0,0,0
146,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
147,2,14,29,21,4,30,5,6,0,0,0,0,0,0,0,0,0,0
148,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
149,2,14,10,29,21,4,30,5,6,0,0,0,0,0,0,0,0,0
150,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
152,2,22,14,10,29,37,21,4,30,5,6,0,0,0,0,0,0,0
153,2,36,14,34,35,37,21,7,4,28,5,6,0,0,0,0,0,0
154,29,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2,22,14,29,37,21,4,30,5,6,0,0,0,0,0,0,0,0
156,2,36,14,34,29,35,37,21,7,4,28,5,6,0,0,0,0,0
157,2,14,29,37,21,4,25,30,5,6,0,0,0,0,0,0,0,0
158,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2,36,14,34,29,35,37,21,7,4,25,5,6,0,0,0,0,0
160,2,14,29,37,21,4,28,30,5,6,0,0,0,0,0,0,0,0
161,2,36,14,34,29,35,37,21,7,4,28,5,6,0,0,0,0,0
162,2,14,29,37,21,4,25,30,5,6,0,0,0,0,0,0,0,0
163,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2,36,14,34,29,35,37,21,7,4,25,28,5,6,0,0,0,0
165,2,14,29,37,21,4,30,5,6,0,0,0,0,0,0,0,0,0
166,2,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2,36,14,34,29,35,37,21,7,4,28,5,6,0,0,0,0,0
168,2,22,14,10,29,37,21,4,30,5,6,0,0,0,0,0,0,0
169,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
